QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10214;PG6;P;0,0057;0,0057;0,0107;EXTERNO;1;39 18 31,135 W;12 10 56,199 S;327.834;POINT (-39.3086486099999988 -12.1822774999999996);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10213;PG6;P;0,0064;0,0064;0,011;EXTERNO;2;39 18 29,206 W;12 10 56,221 S;334.354;POINT (-39.3081127800000019 -12.1822836100000007);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10212;PG6;P;0,006;0,006;0,0088;EXTERNO;3;39 18 27,594 W;12 10 56,277 S;331.756;POINT (-39.3076650000000001 -12.1822991700000003);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-M-3152;PG6;M;0,0071;0,0071;0,012;EXTERNO;4;39 18 23,572 W;12 10 56,369 S;307.268;POINT (-39.3065477800000025 -12.1823247200000004);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-M-3151;PG6;M;0,0062;0,0062;0,0113;EXTERNO;5;39 18 23,301 W;12 10 56,379 S;307.246;POINT (-39.3064724999999981 -12.1823274999999995);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10183;PG6;P;0,0071;0,0071;0,011;EXTERNO;6;39 18 22,151 W;12 10 56,422 S;314.945;POINT (-39.3061530599999998 -12.1823394399999998);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10182;PG6;P;0,0101;0,0101;0,0177;EXTERNO;7;39 18 20,051 W;12 10 56,472 S;327.878;POINT (-39.3055697200000012 -12.1823533299999998);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10181;PG6;P;0,0096;0,0096;0,0133;EXTERNO;8;39 18 18,955 W;12 10 56,498 S;333.613;POINT (-39.3052652800000004 -12.1823605599999993);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10180;PG6;P;0,0116;0,0116;0,0143;EXTERNO;9;39 18 16,882 W;12 10 56,546 S;339.938;POINT (-39.3046894399999971 -12.1823738899999992);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10179;PG6;P;0,0144;0,0144;0,0233;EXTERNO;10;39 18 14,867 W;12 10 56,587 S;343.23;POINT (-39.3041297199999988 -12.1823852800000001);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10178;PG6;P;0,0064;0,0064;0,011;EXTERNO;11;39 18 13,186 W;12 10 56,624 S;341.758;POINT (-39.3036627800000034 -12.1823955599999998);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10177;PG6;P;0,0057;0,0057;0,0089;EXTERNO;12;39 18 10,476 W;12 10 56,703 S;345.328;POINT (-39.3029099999999971 -12.1824174999999997);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-10176;PG6;P;0,0078;0,0078;0,0123;EXTERNO;13;39 18 07,661 W;12 10 56,764 S;326.504;POINT (-39.3021280600000011 -12.1824344399999998);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;FHT-P-2357;PG6;P;0,01;0,013;0,007;EXTERNO;14;39 18 05,572 W;12 10 56,813 S;316.427;POINT (-39.3015477799999999 -12.1824480600000005);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;FHT-M-1464;PG6;M;0,011;0,068;0,026;EXTERNO;15;39 18 02,741 W;12 11 07,604 S;351.888;POINT (-39.3007613899999981 -12.1854455599999998);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;FHT-P-2356;PG6;P;0,022;0,076;0,033;EXTERNO;16;39 18 01,177 W;12 11 12,291 S;407.834;POINT (-39.3003269399999979 -12.1867474999999992);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;FHT-P-2355;PG6;P;0,033;0,016;0,007;EXTERNO;17;39 17 58,478 W;12 11 14,602 S;443.909;POINT (-39.2995772200000033 -12.1873894400000005);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9334;PG6;P;0,0106;0,0106;0,026;EXTERNO;18;39 17 59,144 W;12 11 14,860 S;447.923;POINT (-39.2997622199999981 -12.1874611099999992);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9335;PG6;P;0,0937;0,0937;0,647;EXTERNO;19;39 18 01,230 W;12 11 17,590 S;432.752;POINT (-39.3003416700000017 -12.1882194399999992);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9336;PG6;P;0,0375;0,0375;0,098;EXTERNO;20;39 18 01,824 W;12 11 18,190 S;432.853;POINT (-39.3005066699999972 -12.1883861099999997);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9337;PG6;P;0,0861;0,0861;0,133;EXTERNO;21;39 18 03,188 W;12 11 18,893 S;427.517;POINT (-39.3008855599999976 -12.1885813899999995);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9338;PG6;P;0,1167;0,1167;0,378;EXTERNO;22;39 18 10,567 W;12 11 22,667 S;369.346;POINT (-39.3029352799999998 -12.1896297199999992);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9339;PG6;P;0,2758;0,2758;6,84;EXTERNO;23;39 18 11,563 W;12 11 23,461 S;362.078;POINT (-39.3032119399999971 -12.1898502799999999);
56c93a96-4f58-4b19-9f27-0a59f01f7ba5;DSBN-P-9340;PG6;P;0,0948;0,0948;0,513;EXTERNO;24;39 18 12,461 W;12 11 24,476 S;364.323;POINT (-39.3034613900000025 -12.1901322200000006);
