QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2473;PG2;M;0,146;0,132;0,42;EXTERNO;1;540251,85;8607462,57;18.43;POINT (-38.6294065960462447 -12.5964473574451379);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2486;PG2;M;0,221;0,192;0,503;EXTERNO;2;540777,81;8607314,59;23.01;POINT (-38.6245622781327071 -12.5977787577782845);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2487;PG2;M;0,245;0,367;0,816;EXTERNO;3;540769,96;8607297,06;54.98;POINT (-38.6246343206850185 -12.5979373794526204);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2488;PG2;M;0,187;0,209;1,003;EXTERNO;4;540602,67;8607051,53;17.421;POINT (-38.6261713057233393 -12.6001598148076930);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2489;PG2;M;0,308;0,295;0,752;EXTERNO;5;540910,56;8606830,13;33.56;POINT (-38.6233336824818352 -12.6021579114590274);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2490;PG2;M;0,219;0,195;0,509;EXTERNO;6;540739,86;8606516,91;23.11;POINT (-38.6249011857054327 -12.6049925046792080);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2491;PG2;M;0,107;0,088;0,286;EXTERNO;7;540504,83;8606633,95;1.05;POINT (-38.6270666451621096 -12.6039371636333275);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2492;PG2;M;0,194;0,17;0,505;EXTERNO;8;540249,44;8606185,30;-4.59;POINT (-38.6294121891651017 -12.6079974841187390);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2493;PG2;M;0,22;0,184;0,488;EXTERNO;9;540133,17;8606225,42;-2.67;POINT (-38.6304832238028055 -12.6076361694088703);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2494;PG2;M;0,198;0,19;0,461;EXTERNO;10;540102,79;8606229,07;-2.44;POINT (-38.6307629837376325 -12.6076035497851215);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2495;PG2;M;0,221;0,192;0,503;EXTERNO;11;540018,22;8606217,82;-3.589;POINT (-38.6315414854237247 -12.6077063558633906);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2455;PG2;M;0,258;0,209;0,514;EXTERNO;12;539815,65;8605929,15;13.02;POINT (-38.6334028626823667 -12.6103193053081348);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2456;PG2;M;0,004;0,005;0,013;EXTERNO;13;539648,88;8606059,15;11.88;POINT (-38.6349400175591455 -12.6091458435620503);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2457;PG2;M;0,006;0,006;0,014;EXTERNO;14;539252,04;8606228,82;21.33;POINT (-38.6385959506433494 -12.6076165173448409);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0530;PG2;P;0,085;0,093;0,177;EXTERNO;15;539167,18;8606288,27;22.63;POINT (-38.6393780204907387 -12.6070799779370812);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0531;PG2;P;0,089;0,099;0,185;EXTERNO;16;539087,25;8606339,55;21.73;POINT (-38.6401145929771417 -12.6066172547505868);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0532;PG2;P;0,157;0,091;0,172;EXTERNO;17;539074,63;8606361,55;18.68;POINT (-38.6402310642419593 -12.6064184694196992);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0533;PG2;P;0,11;0,09;0,18;EXTERNO;18;539074,02;8606471,85;9.69;POINT (-38.6402380722509875 -12.6054210553126804);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0534;PG2;P;0,12;0,09;0,18;EXTERNO;19;539121,72;8606715,47;17.11;POINT (-38.6398019725154498 -12.6032174549540024);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0535;PG2;P;0,13;0,09;0,18;EXTERNO;20;539174,15;8607117,66;13.811;POINT (-38.6393243359371965 -12.5995798765449951);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-P-0536;PG2;P;0,195;0,212;0,315;EXTERNO;21;539190,74;8607141,38;10.82;POINT (-38.6391718942540763 -12.5993651750247810);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2458;PG2;M;0,194;0,214;0,317;EXTERNO;22;539218,16;8607168,69;7.26;POINT (-38.6389197882094422 -12.5991178751222233);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2459;PG2;M;0,007;0,007;0,013;EXTERNO;23;539226,83;8607161,74;7.1;POINT (-38.6388398769585564 -12.5991806148686383);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2460;PG2;M;0,221;0,171;0,474;EXTERNO;24;539298,67;8607137,00;5.82;POINT (-38.6381781439507108 -12.5994034399308230);
520f84c2-c29e-4d53-9b31-528caf444462;DJ9-M-2461;PG2;M;0,008;0,008;0,02;EXTERNO;25;539303,04;8607137,93;3.81;POINT (-38.6381379218315857 -12.5993949756789139);
