1;491199,572;8738840,077;318,435;0,002600;0,004000
2;491159,978;8738824,912;319,376;0,002400;0,004300
3;491124,084;8738816,159;319,783;0,008300;0,014000
4;491056,331;8738800,089;319,622;0,018000;0,026000
5;491035,922;8738795,293;319,359;0,013700;0,023700
6;490987,966;8738791,265;319,763;0,013800;0,023300
7;490926,491;8738769,151;321,327;0,010700;0,019300
8;490843,465;8738749,864;324,338;0,017700;0,024300
9 Estrada/Justiliano;490764,450;8738731,967;327,625;0,015200;0,027300
10;490771,547;8738831,094;323,802;0,005900;0,009200
11;490776,245;8738901,491;323,040;0,005200;0,008300
12;490780,509;8738968,347;320,067;0,005700;0,008900
13;490785,281;8739038,440;311,519;0,007400;0,013300
14;490789,553;8739120,935;315,425;0,008300;0,012000
15;490793,177;8739234,695;312,283;0,007100;0,013000
16;490786,929;8739298,929;306,182;0,010200;0,017000
17;490777,484;8739391,705;299,749;0,007300;0,013000
18;490773,641;8739430,873;298,581;0,008000;0,013300
19;490756,740;8739612,367;304,706;0,019500;0,034300
20;490749,059;8739686,969;303,652;0,006200;0,009200
21;490744,805;8739727,878;304,605;0,002800;0,006000
22;490728,157;8739882,695;307,005;0,006600;0,010700
23;490717,530;8739989,633;307,289;0,005900;0,009300
24;490711,013;8740053,906;305,085;0,009700;0,018300
25;490705,890;8740112,688;303,507;0,007300;0,015000
26;490706,766;8740118,007;303,445;0,004200;0,008400
27;490712,802;8740140,154;303,031;0,005700;0,011700
28;490727,747;8740189,400;302,864;0,007100;0,014700
29;490749,345;8740241,958;302,591;0,006200;0,012000
30 Justiliano/Varguim Serra;490765,165;8740271,321;300,051;0,006400;0,013000
31;490789,718;8740251,314;299,644;0,005900;0,011000
32;490824,916;8740220,628;301,859;0,006800;0,015000
33;490850,283;8740199,501;299,439;0,002800;0,006000
34;490883,490;8740171,591;297,108;0,003300;0,007000
35;490902,280;8740155,669;297,320;0,007700;0,014700
36 Varguim Serra/Roger;490940,576;8740123,192;299,656;0,002800;0,006000
37;490994,128;8740077,972;304,709;0,003100;0,006000
38;491047,624;8740029,318;304,414;0,003100;0,007300
39;491074,722;8740002,466;302,858;0,010200;0,023700
40;491114,243;8739962,892;302,235;0,006400;0,014700
41;491153,914;8739922,835;305,196;0,007100;0,019300
42;491195,098;8739879,737;305,859;0,005700;0,012300
43;491236,971;8739830,864;302,002;0,006400;0,014000
44;491265,365;8739789,512;295,968;0,006100;0,012000
45;491292,037;8739756,735;287,199;0,019100;0,047300
46;491336,252;8739702,475;292,186;0,005400;0,012300
47;491368,760;8739673,618;293,945;0,004500;0,009300
48;491375,394;8739661,235;294,127;0,010700;0,025700
49;491416,985;8739563,592;294,727;0,003600;0,008000
50;491473,068;8739448,674;287,335;0,005700;0,012000
51;491480,637;8739426,766;287,504;0,005000;0,011300
52;491489,568;8739393,748;287,429;0,005700;0,013000
53;491500,282;8739354,127;287,867;0,011100;0,028000
54;491507,041;8739331,038;287,949;0,006400;0,014000
55;491522,631;8739277,377;287,798;0,008000;0,019300
56;491518,126;8739274,487;287,975;0,013900;0,036000
57;491523,464;8739264,790;287,890;0,005900;0,013700
58 Roger/Valdete;491530,474;8739241,974;288,445;0,006400;0,013300
59;491546,875;8739181,081;294,915;0,004200;0,008300
60;491559,183;8739135,647;296,771;0,003600;0,006700
61;491563,551;8739119,429;294,280;0,005000;0,011300
62;491583,332;8739050,573;302,996;0,002800;0,005000
63;491608,832;8738961,720;303,663;0,003600;0,007700
64 Valdete/estrada;491617,446;8738930,228;299,509;0,005700;0,012000
65;491596,376;8738925,402;300,343;0,003800;0,007000
66;491518,175;8738908,246;303,943;0,007400;0,014700
67;491406,084;8738881,878;312,735;0,009000;0,015700
68;491363,938;8738872,056;313,926;0,005700;0,010300
69;491237,617;8738844,165;317,334;0,003100;0,005300
